node	type	sequence	time_red	time_yellow	time_green	num_moves	link_from	link_to
5711	1	1		1	3	37	0	{5303,5303,105138,105138}	{5136,5138,5136,105303}
5711	1	2		1	3	21	0	{5301,5301,5301}	{5136,5138,105303}
5712	1	1		1	3	38	0	{18178,18178}	{5241,18191}
5712	1	2		1	3	19	0	{5136,5136}	{5241,18191}
5727	1	1		1	3	34	0	{105242}	{5148}
5727	1	2		1	3	21	0	{5241}	{5148}
5574	1	1		1	3	52	0	{17736,17736,104901,104901}	{4865,4901,4865,117736}
5574	1	2		1	3	37	0	{104901,104901}	{4865,117736}
5574	1	3		1	3	32	0	{14692,14692,14692}	{4865,4901,117736}
5573	1	1		1	3	79	0	{16653,16653,104895,104895}	{4895,117735,116653,117735}
5573	1	2		1	3	79	0	{17735,17735}	{4895,116653}
12149	1	1		1	3	107	0	{16109,16109,116653,116653}	{16653,118338,116109,118338}
12149	1	2		1	3	12	0	{18338,18338}	{116109,16653}
6231	1	1		1	3	61	0	{5991,5991,106008,106008}	{6008,106009,105991,106009}
6231	1	2		0	0	42	0	{5991,5991}	{6008,106009}
6231	1	3		1	3	32	0	{6009,6009}	{105991,6008}
6230	1	1		1	3	14	0	{105991,105991,105991}	{5993,115590,118361}
6230	1	2		1	3	58	0	{18361,18361,18361,105991,105991,105991}	{5991,5993,115590,5993,115590,118361}
6230	1	3		0	4	16	0	{18361,18361,18361}	{5991,5993,115590}
6230	1	4		1	3	30	0	{15590,15590,15590,105993,105993,105993}	{5991,5993,118361,5991,115590,118361}
6167	1	1		1	3	85	0	{18538,18538,18538,105934,105934,105934}	{5934,6062,116564,6062,116564,118538}
6167	1	2		1	3	13	0	{106062,106062,16564,16564}	{5934,118538,5934,118538}
6167	1	3		1	3	12	0	{106062,106062,106062}	{5934,116564,118538}
6167	1	4		1	3	27	0	{106062,106062,106062,16564,16564,16564}	{5934,116564,118538,5934,6062,118538}
5197	1	1		1	3	18	0	{106255,106255,106255}	{4290,106168,116582}
5197	1	2		1	3	48	0	{6168,6168,6168,106255,106255,106255}	{4290,6255,116582,4290,106168,116582}
5197	1	3		1	3	10	0	{6168,6168,6168}	{4290,6255,116582}
5197	1	4		1	3	6	0	{16582,16582,104290,104290}	{106168,6255,106168,6255}
5197	1	5		1	3	28	0	{16582,16582,16582,104290,104290,104290}	{4290,106168,6255,106168,6255,116582}
5210	1	1		1	3	11	0	{106248,106248}	{118512,106254}
5210	1	2		1	3	74	0	{18512,18512,106248,106248}	{6248,106254,118512,106254}
5210	1	3		1	3	33	0	{104300,104300,104300}	{6248,118512,106254}
6354	1	1		1	3	80	0	{6248,6248,106252,106252}	{6252,6253,106248,6253}
6354	1	2		1	3	11	0	{6248,6248}	{6252,6253}
6354	1	3		1	3	27	0	{6249,6249,6249}	{106248,6252,6253}
6332	1	1		1	3	11	0	{18508,18508,18508}	{6194,6204,106247}
6332	1	2		1	3	61	0	{18508,18508,18508,106204,106204,106204}	{6194,6204,106247,6194,106247,118508}
6332	1	3		1	3	16	0	{106204,106204,106204}	{6194,106247,118508}
6332	1	4		1	3	26	0	{6247,6247,6247,106194,106194,106194}	{6194,6204,118508,6204,106247,118508}
13019	1	1		1	3	32	0	{18466,18466,118427}	{18427,18428,18428}
13019	1	2		1	3	40	0	{5225,5225}	{18427,18428}
12735	1	1		1	3	36	0	{18187,18187}	{17730,18189}
12735	1	2		1	3	36	0	{17620,17620}	{17730,18189}
13010	1	1		1	3	43	0	{18175,18175}	{18163,18183}
13010	1	2		1	3	29	0	{5148,5148}	{18163,18183}
13009	1	1		1	3	34	0	{5266,5266,118161,118161}	{18161,18164,105266,18164}
13009	1	2		1	3	38	0	{18162,18162,18162}	{105266,18161,18164}
5770	1	1		1	3	45	0	{105275,105275,105275}	{5267,116041,118161}
5770	1	2		1	3	28	0	{18161,18161,105267,105267}	{5267,116041,116041,118161}
5714	1	1		1	3	34	0	{105208,105208}	{118440,117729}
5714	1	2		1	3	34	0	{105209,105209}	{118440,117729}
5723	1	1		1	3	43	0	{105201,105201}	{5214,118172}
5723	1	2		1	3	29	0	{18163,18163}	{5214,118172}
13013	1	1		1	3	42	0	{118172,118172}	{105142,18176}
13013	1	2		1	3	30	0	{18173,18173}	{105142,18176}
12670	1	1		1	3	31	0	{117617,117617}	{17620,118430}
12670	1	2		1	3	35	0	{17618,17618}	{17620,118430}
5212	1	1		1	3	44	0	{4590,4590,4590,104914,104914,104914}	{4912,4914,116035,104590,4912,116035}
5212	1	2		1	3	28	0	{16035,16035,16035,104912,104912,104912}	{104590,4912,4914,104590,4914,116035}
5431	1	1		1	3	36	0	{18476,18476,18476,104590,104590,104590}	{4590,18310,118484,18310,118476,118484}
5431	1	2		1	3	35	0	{18484,18484,18484,118310,118310,118310}	{4590,18310,118476,4590,118476,118484}
5757	1	1		1	3	42	0	{18206,18206,105230,105230}	{5230,18205,18205,118206}
5757	1	2		1	3	30	0	{18500,18500,18500}	{5230,18205,118206}
11080	1	1		1	3	28	0	{118206,118206,118208,118208}	{18208,115585,18206,115585}
11080	1	2		1	3	44	0	{115584,115584,115584}	{18208,18206,115585}
13091	1	1		1	3	48	0	{15988,15988,118340,118340}	{18340,118341,115988,118341}
13091	1	2		1	3	24	0	{18341,18341}	{115988,18340}
5135	1	1		1	3	78	0	{18357,18357,18357,104905,104905,104905}	{4247,4905,118340,4247,118340,118357}
5135	1	2		1	3	12	0	{18340,18340,18340,104247,104247}	{4247,4905,118357,4905,118357}
5135	1	3		1	3	16	0	{104247,104247,104247,18340,18340,18340}	{4905,118340,118357,4247,4905,118357}
5581	1	1		1	3	45	0	{104871,104871,104871}	{118331,18332,104894}
5581	1	2		1	3	27	0	{18331,18331,118332,118332}	{18332,104894,118331,104894}
5544	1	1		1	3	35	0	{4901,4901,104868,104868}	{4868,104903,104901,104903}
5544	1	2		1	3	8	0	{4901,4901}	{4868,104903}
5544	1	3		1	3	25	0	{104869,104869,104869}	{4868,104901,104903}
5471	1	2		1	3	45	0	{18428,18428}	{5146,117617}
5471	1	1		1	3	27	0	{18568,18568,104624,104624}	{5146,117617,5146,117617}
6387	1	1		0	2	20	0	{106348,106348,15483,15483}	{115483,116673,6348,116673}
6387	1	2		0	2	28	0	{106348,106348}	{115483,116673}
6387	1	3		0	2	18	0	{106348,106348,15483,15483}	{115483,116673,6348,116673}
6387	1	4		0	2	32	0	{106346,106346,106346}	{6348,115483,116673}
6376	1	1		0	2	20	0	{14227,14227,6348,6348}	{6326,106348,114227,6326}
6376	1	2		0	2	28	0	{14092,14092,14092}	{114227,6326,106348}
6376	1	3		0	2	18	0	{6348,6348}	{114227,6326}
6376	1	4		0	2	32	0	{6348,6348}	{114227,6326}
5143	1	1		0	2	18	0	{6338,6338,106168,106168}	{6168,4252,106338,4252}
5143	1	2		0	2	30	0	{6335,6335,6335}	{6168,106338,4252}
5143	1	3		0	2	40	0	{6338,6338}	{6168,4252}
5684	1	1		0	2	45	0	{105319,105319,105319}	{5317,105321,116601}
5684	1	2		0	2	26	0	{105317,105317,16601,16601}	{105321,116601,5317,105321}
5684	1	3		0	2	29	0	{105317,105317}	{105321,116601}
5709	1	1		0	2	45	0	{5315,5315,5315}	{5287,5134,105318}
5709	1	2		0	2	26	0	{105287,105287,5318,5318}	{5134,105318,5287,5134}
5709	1	3		0	2	29	0	{5318,5318}	{5287,5134}
12672	1	1		0	2	29	0	{117623,117623}	{18162,17622}
12672	1	2		0	0	64	0	{17624,17624}	{18162,17622}
12672	1	3		0	2	2	0	{117623,117623}	{18162,17622}
5761	1	1		0	2	30	0	{105268,105268}	{5247,105253}
5761	1	2		0	2	64	0	{17622,17622}	{5247,105253}
5761	1	3		0	2	1	0	{}	{}
5676	1	1		0	2	31	0	{105253,105253}	{114724,114720}
5676	1	2		0	2	23	0	{105253,105253,14720}	{114724,114720,114724}
5676	1	3		0	2	41	0	{105254,105254}	{114724,114720}
5205	1	1		0	2	67	0	{106338,106338}	{106339,106334}
5205	1	2		0	2	19	0	{104294,104294,104294}	{6338,106339,106334}
5205	1	3		0	0	30	0	{6334,6334}	{6338,106339}
5691	1	1		0	2	40	0	{105135,105135,105135}	{5318,105319,114722}
5691	1	2		0	2	55	0	{105318,105318,14722,14722}	{105319,114722,5318,105319}
5691	1	3		0	2	5	0	{105135,105135,105135}	{5318,105319,114722}
13061	1	1		1	3	58	0	{18270,18270,18270,118271,118271,118271}	{18269,18271,106218,18269,118270,106218}
13061	1	2		1	3	24	0	{118269,118269,118269,6218,6218,6218}	{118270,18271,106218,18269,118270,18271}
11081	1	1		1	3	28	0	{118201}	{115586}
11081	1	2		1	3	44	0	{115585,115585}	{18201,115586}
5654	1	1		1	3	38	0	{5073,5073,5073,105200,105200,105200}	{5062,105150,5200,5062,105073,105150}
5654	1	2		1	3	34	0	{5150,5150,5150,105062,105062,105062}	{5062,105073,5200,105073,105150,5200}
5659	1	1		0	2	75	0	{5064,5064,5064}	{5073,5129,105125}
5659	1	2		0	2	45	0	{5125,5125,105073,105073}	{5073,5129,5129,105125}
5746	1	1		1	3	42	0	{105179,5177}	{105177,5179}
5746	1	2		1	3	30	0	{18377,18377}	{105177,5179}
5452	1	1		1	3	30	0	{5179,5179,104607,104607}	{4607,17614,105179,17614}
5452	1	2		1	3	42	0	{17613,17613,17613}	{4607,105179,17614}
5453	1	1		1	3	30	0	{4607,4607,104888,104888}	{4888,4787,104607,4787}
5453	1	2		1	3	42	0	{18381,18381,18381}	{104607,4888,4787}
5583	1	1		1	3	42	0	{4888,4888,104887,104887}	{104885,4887,104885,104888}
5583	1	2		1	3	30	0	{4885,4885}	{4887,104888}
5748	1	1		1	3	48	0	{105185,105185}	{5186,105181}
5748	1	2		1	3	24	0	{5193,5193}	{5186,105181}
5749	1	1		1	3	41	0	{105188,105188}	{14996,118448}
5749	1	2		1	3	31	0	{14715,14715}	{14996,118448}
5454	1	1		1	3	47	0	{104611,104611}	{105188,4608}
5454	1	2		1	3	25	0	{18470,18470}	{105188,4608}
13082	1	1		1	3	48	0	{118319,118319,118319}	{118320,18321,104891}
13082	1	2		1	3	24	0	{18320,18320,118321,118321}	{18321,104891,118320,104891}
5739	1	1		1	3	48	0	{105171,105171}	{105205,118438}
5739	1	2		1	3	25	0	{105167,105167}	{105205,118438}
5731	1	1		1	3	48	0	{105204,105204}	{5174,114461}
5731	1	2		1	3	25	0	{18442,18442}	{5174,114461}
10461	1	1		1	3	48	0	{114461,114461}	{16996,105152}
10461	1	2		1	3	25	0	{14462,14462}	{16996,105152}
5764	1	1		1	3	48	0	{105270,105270,105270}	{5250,105274,118385}
5764	1	2		1	3	25	0	{5274,5274,105250,105250}	{5250,118385,105274,118385}
5570	1	1		1	3	25	0	{104861,104861,425133,425133}	{104871,425132,104871,4861}
5570	1	2		1	3	47	0	{104903,104903,104903}	{104871,4861,425132}
5458	1	1		0	0	12	0	{104891,104891,104891}	{104611,18308,118307}
5458	1	2		0	0	6	0	{18307,18307,118308,118308}	{104611,18308,104611,118307}
5472	1	1		0	0	12	0	{104906,104906}	{104624,18306}
5472	1	2		0	0	6	0	{104906,104906}	{104624,18306}
5756	1	1		1	5	19	0	{18474,18474,118335}	{18335,18333,18333}
5756	1	2		1	5	44	0	{18474,18474}	{18335,18333}
13065	1	1		1	4	12	0	{118287,118287,118287}	{106011,118288,18289}
13065	1	2		1	4	60	0	{118287,118287,118287,6011,6011,6011}	{106011,118288,18289,118288,18289,18287}
13065	1	3		1	4	12	0	{6011,6011,6011}	{118288,18289,18287}
13065	1	4		1	4	26	0	{118289,118289,118289,18288,18288,18288}	{106011,118288,18287,106011,18289,18287}
13500	1	1		1	5	17	0	{}	{}
13500	1	2		0	6	8	0	{118601,118601}	{118600,4879}
13500	1	3		0	5	52	0	{104879,104879,18600,18600}	{18601,118600,18601,4879}
11791	1	1		0	7	27	0	{116295}	{425152}
11791	1	2		0	7	13	0	{116295}	{425152}
11791	1	3		0	7	39	0	{}	{}
11791	1	4		0	7	23	0	{}	{}
11031	1	1		1	3	26	6	{18392,18392,18392}	{15487,105250,115488}
11031	1	2		1	3	26	6	{5250,5250,115487,115487}	{15487,115488,105250,115488}
5577	1	1		0	0	100	0	{4868,4868,104878,104878,18602,18601}	{4878,118602,104868,118601,4878,104868}
5657	1	1		0	2	45	0	{16055,16055,105125,105125}	{5125,105063,116055,105063}
5657	1	2		0	2	75	0	{425140,425140,425140}	{5125,116055,105063}
5674	1	1		0	2	2	0	{105326,105326}	{5327,105331}
5674	1	2		0	2	14	0	{105327}	{105331}
5674	1	3		0	2	14	0	{105327}	{105331}
5674	1	4		0	2	50	0	{105326,105326}	{5327,105331}
5674	1	5		0	2	7	0	{105326,105326}	{5327,105331}
5780	1	1		0	2	2	0	{18556,18556,5327,5327}	{5330,105327,118556,5330}
5780	1	2		0	2	14	0	{18556,18556,5327,5327}	{5330,105327,118556,5330}
5780	1	3		0	2	14	0	{5328,5328,5328}	{118556,5330,105327}
5780	1	4		0	2	50	0	{5328,5328,5328}	{118556,5330,105327}
5780	1	5		0	2	7	0	{5327,5327}	{118556,5330}
5767	1	1		0	2	65	0	{107417,107417,107417,107421,107421,107421}	{114494,14493,105254,114494,14493,105254}
5767	1	2		0	2	45	0	{114493,114493,14494,14494}	{114494,105254,14493,105254}
