id	coordinates
6284	(-97.7421,30.2965),(-97.7428,30.2954)
106284	(-97.7428,30.2954),(-97.7421,30.2965)
6296	(-97.7375,30.2943),(-97.7384,30.2947)
106296	(-97.7384,30.2947),(-97.7375,30.2943)
6355	(-97.7267,30.2872),(-97.7291,30.2884)
106355	(-97.7291,30.2884),(-97.7267,30.2872)
6357	(-97.7291,30.2884),(-97.7298,30.2889)
106357	(-97.7298,30.2889),(-97.7291,30.2884)
13458	(-97.7291,30.2884),(-97.73,30.2874)
113458	(-97.73,30.2874),(-97.7291,30.2884)
14455	(-97.7411,30.2655),(-97.7414,30.2646)
14456	(-97.7435,30.2662),(-97.7421,30.2658)
114456	(-97.7421,30.2658),(-97.7435,30.2662)
114457	(-97.7411,30.2655),(-97.7421,30.2658)
14459	(-97.7411,30.2624),(-97.7421,30.2627)
114459	(-97.7421,30.2627),(-97.7411,30.2624)
14460	(-97.7411,30.2624),(-97.7407,30.2633)
14462	(-97.74,30.2652),(-97.7397,30.2661)
14492	(-97.735,30.2659),(-97.7361,30.2662)
14507	(-97.7478,30.2746),(-97.7482,30.2737)
114507	(-97.7482,30.2737),(-97.7478,30.2746)
14508	(-97.7446,30.2737),(-97.7456,30.274)
114508	(-97.7456,30.274),(-97.7446,30.2737)
14509	(-97.7449,30.2853),(-97.744,30.2852)
114509	(-97.744,30.2852),(-97.7449,30.2853)
14510	(-97.7484,30.2665),(-97.7481,30.2675)
114510	(-97.7481,30.2675),(-97.7484,30.2665)
14511	(-97.7452,30.2656),(-97.7455,30.2647)
14513	(-97.7404,30.2643),(-97.7402,30.2647)
14516	(-97.7439,30.2652),(-97.7441,30.2646)
114516	(-97.7441,30.2646),(-97.7439,30.2652)
14519	(-97.7425,30.2649),(-97.7414,30.2646)
114519	(-97.7414,30.2646),(-97.7425,30.2649)
14520	(-97.7414,30.2646),(-97.7404,30.2643)
114520	(-97.7404,30.2643),(-97.7414,30.2646)
14692	(-97.7529,30.2711),(-97.754,30.2715)
14693	(-97.7485,30.2727),(-97.7495,30.2731)
114693	(-97.7495,30.2731),(-97.7485,30.2727)
