    id coordinates
   352 (-104.0854, 55.2317), (-104.0804, 55.2320)
   353 (-104.0853, 55.2388), (-104.0901, 55.2401)
   354 (-104.0853, 55.2388), (-104.0819, 55.2396)
   355 (-104.0936, 55.2406), (-104.0974, 55.2397)
   356 (-104.0936, 55.2406), (-104.0929, 55.2431)
   357 (-104.0936, 55.2406), (-104.0901, 55.2401)
   358 (-104.1011, 55.2386), (-104.1048, 55.2386)
   359 (-104.1011, 55.2386), (-104.0974, 55.2397)
   360 (-104.0996, 55.2291), (-104.1044, 55.2289)
   361 (-104.0996, 55.2291), (-104.0951, 55.2295)
   362 (-104.1022, 55.2216), (-104.1031, 55.2221)
   363 (-104.1022, 55.2216), (-104.0937, 55.2226)
   364 (-104.0979, 55.2194), (-104.1001, 55.2188)
   365 (-104.0979, 55.2194), (-104.0971, 55.2209)
   366 (-104.1142, 55.2192), (-104.1200, 55.2194)
   367 (-104.1142, 55.2192), (-104.1106, 55.2234)
   368 (-104.1142, 55.2192), (-104.1066, 55.2205)
   369 (-104.1275, 55.2215), (-104.1283, 55.2298)
   370 (-104.1275, 55.2215), (-104.1241, 55.2193)
   371 (-104.1158, 55.2268), (-104.1138, 55.2276)
   372 (-104.1155, 55.2331), (-104.1197, 55.2327)
   373 (-104.1155, 55.2331), (-104.1166, 55.2350)
   374 (-104.1155, 55.2331), (-104.1135, 55.2309)
   375 (-104.1264, 55.2345), (-104.1283, 55.2298)
   376 (-104.1264, 55.2345), (-104.1236, 55.2362)
   377 (-104.1245, 55.2396), (-104.1263, 55.2389)
   378 (-104.1245, 55.2396), (-104.1247, 55.2402)
   379 (-104.1170, 55.2381), (-104.1219, 55.2345)
   380 (-104.1170, 55.2381), (-104.1186, 55.2403)
   381 (-104.1170, 55.2381), (-104.1166, 55.2350)
   382 (-104.1170, 55.2381), (-104.1123, 55.2380)
   383 (-104.1168, 55.2437), (-104.1197, 55.2441)
   384 (-104.1168, 55.2437), (-104.1124, 55.2441)
   385 (-104.1243, 55.2429), (-104.1280, 55.2423)
   386 (-104.1243, 55.2429), (-104.1249, 55.2453)
   387 (-104.1350, 55.2448), (-104.1383, 55.2448)
   388 (-104.1350, 55.2448), (-104.1348, 55.2471)
   389 (-104.1350, 55.2448), (-104.1287, 55.2450)
   390 (-104.1343, 55.2477), (-104.1348, 55.2471)
   391 (-104.1343, 55.2477), (-104.1340, 55.2490)
   392 (-104.1374, 55.2528), (-104.1387, 55.2553)
   393 (-104.1374, 55.2528), (-104.1347, 55.2514)
   394 (-104.1299, 55.2522), (-104.1319, 55.2515)
   395 (-104.1299, 55.2522), (-104.1302, 55.2554)
   396 (-104.1299, 55.2522), (-104.1281, 55.2511)
   397 (-104.1272, 55.2502), (-104.1279, 55.2502)
   398 (-104.1278, 55.2480), (-104.1310, 55.2480)
   399 (-104.1278, 55.2480), (-104.1276, 55.2483)
   400 (-104.1255, 55.2460), (-104.1289, 55.2458)
   401 (-104.1255, 55.2460), (-104.1252, 55.2463)
   402 (-104.1172, 55.2469), (-104.1183, 55.2470)
   403 (-104.1172, 55.2469), (-104.1161, 55.2471)
   404 (-104.1170, 55.2499), (-104.1186, 55.2499)
   405 (-104.1170, 55.2499), (-104.1149, 55.2502)
   406 (-104.1207, 55.2507), (-104.1222, 55.2502)
   407 (-104.1207, 55.2507), (-104.1208, 55.2521)
   408 (-104.1207, 55.2507), (-104.1189, 55.2516)
   409 (-104.1230, 55.2501), (-104.1222, 55.2502)
   410 (-104.1255, 55.2550), (-104.1258, 55.2567)
   411 (-104.1255, 55.2550), (-104.1231, 55.2549)
   412 (-104.1176, 55.2560), (-104.1231, 55.2549)
