    id   type Longitude Latitude Elevation
   630   1000 -104.2550 55.2960      0
   631   1000 -104.2636 55.2979      0
   632   1000 -104.2696 55.2928      0
   633   1000 -104.2806 55.2921      0
   634   1000 -104.2711 55.2956      0
   635   1000 -104.2741 55.2993      0
   636   1000 -104.2855 55.3002      0
   637   1000 -104.2851 55.2942      0
   638   1000 -104.2885 55.3146      0
   639   1000 -104.2658 55.3320      0
   640   1000 -104.2359 55.3343      0
   641   1000 -104.2377 55.3298      0
   642   1000 -104.2379 55.3204      0
   643   1000 -104.2409 55.3106      0
   644   1000 -104.2651 55.3070      0
   645   1000 -104.2372 55.3154      0
   646   1000 -104.2479 55.3100      0
   647   1000 -104.2547 55.3151      0
   648   1000 -104.2299 55.3089      0
   649   1000 -104.2225 55.3114      0
   650   1000 -104.2215 55.3103      0
   651   1000 -104.2236 55.3149      0
   652   1000 -104.2179 55.3148      0
   653   1000 -104.2097 55.3124      0
   654   1000 -104.2052 55.3129      0
   655   1000 -104.2017 55.3133      0
   656   1000 -104.1941 55.3141      0
   657   1000 -104.1859 55.3154      0
   658   1000 -104.1882 55.3195      0
   659   1000 -104.1874 55.3260      0
   660   1000 -104.1973 55.3219      0
   661   1000 -104.1978 55.3179      0
   662   1000 -104.2029 55.3178      0
   663   1000 -104.2012 55.3213      0
   664   1000 -104.2071 55.3216      0
   665   1000 -104.2065 55.3173      0
   666   1000 -104.2112 55.3157      0
   667   1000 -104.2117 55.3218      0
   668   1000 -104.2154 55.3218      0
   669   1000 -104.2199 55.3214      0
   670   1000 -104.2256 55.3204      0
   671   1000 -104.2273 55.3261      0
   672   1000 -104.2218 55.3259      0
   673   1000 -104.2221 55.3289      0
   674   1000 -104.2240 55.3354      0
   675   1000 -104.2111 55.3363      0
   676   1000 -104.2104 55.3312      0
   677   1000 -104.2109 55.3265      0
   678   1000 -104.2058 55.3269      0
   679   1000 -104.2023 55.3263      0
   680   1000 -104.1956 55.3293      0
   681   1000 -104.1977 55.3327      0
   682   1000 -104.1991 55.3365      0
   683   1000 -104.2036 55.3393      0
   684   1000 -104.1962 55.3396      0
   685   1000 -104.1900 55.3369      0
   686   1000 -104.1895 55.3332      0
   687   1000 -104.1887 55.3298      0
   688   1000 -104.1825 55.3265      0
   689   1000 -104.1787 55.3266      0
   690   1000 -104.1803 55.3221      0
   691   1000 -104.1820 55.3176      0
   692   1000 -104.1769 55.3188      0
   693   1000 -104.1795 55.3152      0
   694   1000 -104.1702 55.3161      0
   695   1000 -104.1689 55.3146      0
   696   1000 -104.1650 55.3149      0
   697   1000 -104.1659 55.3207      0
   698   1000 -104.1695 55.3187      0
   699   1000 -104.1728 55.3212      0
   700   1000 -104.1711 55.3238      0
   701   1000 -104.1729 55.3270      0
   702   1000 -104.1573 55.3158      0
   703   1000 -104.1583 55.3178      0
   704   1000 -104.1594 55.3214      0
   705   1000 -104.1561 55.3270      0
   706   1000 -104.1621 55.3268      0
   707   1000 -104.1672 55.3263      0
   708   1000 -104.1630 55.3311      0
   709   1000 -104.1579 55.3325      0
   710   1000 -104.1675 55.3311      0
   711   1000 -104.1738 55.3308      0
   712   1000 -104.1796 55.3306      0
   713   1000 -104.1833 55.3303      0
   714   1000 -104.1840 55.3335      0
   715   1000 -104.1800 55.3337      0
   716   1000 -104.1847 55.3372      0
   717   1000 -104.1811 55.3373      0
   718   1000 -104.1753 55.3372      0
   719   1000 -104.1746 55.3340      0
   720   1000 -104.1686 55.3346      0
   721   1000 -104.1596 55.3353      0
   722   1000 -104.1604 55.3387      0
   723   1000 -104.1660 55.3374      0
   724   1000 -104.1698 55.3375      0
