Link id	Type	FFtime	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700
103	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
104	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
105	1001	0.0	-0.1	-0.1	-0.1	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
106	1001	0.0	6.0	6.352941176470588	6.0	6.375	6.428571428571429	6.5	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
107	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
108	1001	0.0	6.0	6.0	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
109	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
110	1001	0.0	-0.1	-0.1	-0.1	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
111	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
112	1001	0.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
113	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
114	1001	0.0	-0.1	6.0	6.0	6.0	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
115	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
116	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
117	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
118	1001	0.0	-0.1	-0.1	-0.1	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
119	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
120	1001	0.0	6.0	6.0	6.0	-0.1	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
121	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
122	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
123	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
124	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
125	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
126	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
127	1001	0.0	-0.1	6.0	6.0	-0.1	6.0	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
128	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
129	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
130	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
